"Analytes","SeqId","SeqIdVersion","SomaId","TargetFullName","Target","UniProt","EntrezGeneID","EntrezGeneSymbol","Organism","Units","Type","Dilution","NormGroup"
"X10035.6","10035-6",3,"SL007389","Dual specificity protein phosphatase 4","DUS4","Q13115","1846","DUSP4","Human","RFU","Protein","20","S1"
"X10037.98","10037-98",3,"SL025986","Sialic acid-binding Ig-like lectin 12:Ig-like V-type 2 domain, Isoform long","SIG12:Ig-like V-type 2","Q96PQ1","89858","SIGLEC12","Human","RFU","Protein","20","S1"
"X10039.32","10039-32",3,"SL005262","Purine nucleoside phosphorylase","PNP","P00491","4860","PNP","Human","RFU","Protein","20","S2"
"X10040.63","10040-63",3,"SL007662","Tumor protein 63","P73L","Q9H3D4","8626","TP63","Human","RFU","Protein","20","S1"
"X10041.3","10041-3",3,"SL007226","Hepatocyte nuclear factor 4-alpha","HNF4A","P41235","3172","HNF4A","Human","RFU","Protein","20","S2"
"X10042.8","10042-8",3,"SL015131","Serine/threonine-protein kinase Sgk3","SGK3","Q96BR1","100533105","SGK3","Human","RFU","Protein","20","S1"
"X10043.31","10043-31",3,"SL019249","Bromodomain-containing protein 4","BRD4","O60885","23476","BRD4","Human","RFU","Protein","20","S1"
"X10045.47","10045-47",3,"SL010989","Cullin-3","CUL3","Q13618","8452","CUL3","Human","RFU","Protein","20","S2"
"X10046.55","10046-55",3,"SL003727","Baculoviral IAP repeat-containing protein 2","cIAP-1","Q13490","329","BIRC2","Human","RFU","Protein","20","S1"
"X10047.12","10047-12",3,"SL004553","Neutrophil cytosol factor 2","NCF-2","P19878","4688","NCF2","Human","RFU","Protein","20","S2"
"X10048.7","10048-7",3,"SL011998","Core-binding factor subunit beta","PEBB","Q13951","865","CBFB","Human","RFU","Protein","20","S2"
"X10049.112","10049-112",3,"SL019242","Telomeric repeat-binding factor 1","TERF1","P54274","7013","TERF1","Human","RFU","Protein","20","S1"
"X10053.5","10053-5",3,"SL004474","Integrin-linked protein kinase","ILK1","Q13418","3611","ILK","Human","RFU","Protein","20","S2"
"X10054.3","10054-3",3,"SL019232","Gigaxonin","GAN","Q9H2C0","8139","GAN","Human","RFU","Protein","20","S1"
"X10056.5","10056-5",3,"SL007372","Forkhead box protein M1","FOXM1","Q08050","2305","FOXM1","Human","RFU","Protein","20","S2"
"X10058.1","10058-1",3,"SL013796","UV excision repair protein RAD23 homolog A","RD23A","P54725","5886","RAD23A","Human","RFU","Protein","20","S2"
"X10063.10","10063-10",3,"SL019237","E3 ubiquitin-protein ligase FANCL","FANCL","Q9NW38","55120","FANCL","Human","RFU","Protein","20","S1"
"X10064.12","10064-12",3,"SL011550","Putative hydrolase RBBP9","RBBP9","O75884","10741","RBBP9","Human","RFU","Protein","20","S2"
"X10069.2","10069-2",3,"SL013908","Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1","PIN1","Q13526","5300","PIN1","Human","RFU","Protein","20","S1"
"X10070.22","10070-22",3,"SL016406","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2","PLCG2","P16885","5336","PLCG2","Human","RFU","Protein","20","S1"
"X10073.22","10073-22",3,"SL011411","Tyrosyl-DNA phosphodiesterase 1","TYDP1","Q9NUW8","55775","TDP1","Human","RFU","Protein","20","S2"
"X10074.128","10074-128",3,"SL014748","Bromodomain-containing protein 2","BRD2","P25440","6046","BRD2","Human","RFU","Protein","20","S1"
"X10075.75","10075-75",3,"SL019254","Acyl-CoA-binding domain-containing protein 6","ACBD6","Q9BR61","84320","ACBD6","Human","RFU","Protein","20","S1"
"X10076.1","10076-1",3,"SL019225","AP-4 complex subunit mu-1","AP4M1","O00189","9179","AP4M1","Human","RFU","Protein","20","S1"
"X10078.5","10078-5",3,"SL007063","BAG family molecular chaperone regulator 3","BAG3","O95817","9531","BAG3","Human","RFU","Protein","20","S1"
"X10080.9","10080-9",3,"SL019240","Translation initiation factor eIF-2B subunit alpha","EI2BA","Q14232","1967","EIF2B1","Human","RFU","Protein","20","S2"
"X10081.17","10081-17",3,"SL019243","DNA-binding protein SATB2","SATB2","Q9UPW6","23314","SATB2","Human","RFU","Protein","20","S1"
"X10082.251","10082-251",3,"SL019251","Neurofilament light polypeptide","NFL","P07196","4747","NEFL","Human","RFU","Protein","20","S2"
"X10085.25","10085-25",3,"SL001714","Steroidogenic acute regulatory protein, mitochondrial","STAR","P49675","6770","STAR","Human","RFU","Protein","20","S2"
"X10086.39","10086-39",3,"SL018882","Cystathionine beta-synthase","CBS","P35520","102724560","CBS","Human","RFU","Protein","20","S1"
"X10087.10","10087-10",3,"SL003675","Alpha-crystallin A chain","Alpha crystallin A chain","P02489","102724652","CRYAA","Human","RFU","Protein","20","S1"
"X10088.37","10088-37",3,"SL008014","Adenine phosphoribosyltransferase","APT","P07741","353","APRT","Human","RFU","Protein","20","S1"
"X10089.7","10089-7",3,"SL019244","N-acetylserotonin O-methyltransferase-like protein","ASML","O95671","8623","ASMTL","Human","RFU","Protein","20","S1"
"X10336.3","10336-3",3,"SL019100","E3 ubiquitin-protein ligase CHIP","CHIP","Q9UNE7","10273","STUB1","Human","RFU","Protein","20","S2"
"X10339.48","10339-48",3,"SL001731","Gamma-enolase","NSE","P09104","2026","ENO2","Human","RFU","Protein","20","S2"
"X10342.55","10342-55",3,"SL019096","E3 SUMO-protein ligase PIAS4","PIAS4","Q8N2W9","51588","PIAS4","Human","RFU","Protein","20","S1"
"X10346.5","10346-5",3,"SL007221","Signal transducer and activator of transcription 3","STAT3","P40763","6774","STAT3","Human","RFU","Protein","20","S2"
"X10351.51","10351-51",3,"SL007108","Interferon regulatory factor 1","IRF1","P10914","3659","IRF1","Human","RFU","Protein","20","S2"
"X10354.57","10354-57",3,"SL007221","Signal transducer and activator of transcription 3","STAT3","P40763","6774","STAT3","Human","RFU","Protein","20","S2"
"X10356.21","10356-21",3,"SL000455","Transcription factor AP-1","c-Jun","P05412","3725","JUN","Human","RFU","Protein","20","S1"
"X10361.25","10361-25",3,"SL014684","2'-5'-oligoadenylate synthase 1","OAS1","P00973","4938","OAS1","Human","RFU","Protein","20","S1"
"X10362.35","10362-35",3,"SL002565","Myc proto-oncogene protein","c-Myc","P01106","4609","MYC","Human","RFU","Protein","20","S1"
"X10363.13","10363-13",3,"SL004097","Mothers against decapentaplegic homolog 3","SMAD3","P84022","4088","SMAD3","Human","RFU","Protein","20","S2"
"X10364.6","10364-6",3,"SL004101","Mothers against decapentaplegic homolog 2","SMAD2","Q15796","4087","SMAD2","Human","RFU","Protein","20","S1"
"X10365.132","10365-132",3,"SL005184","Interleukin-23","IL-23","P29460|Q9NPF7","3593|51561","IL12B|IL23A","Human","RFU","Protein","20","S1"
"X10366.11","10366-11",3,"SL001728","Platelet-derived growth factor receptor alpha","PDGFRA","P16234","5156","PDGFRA","Human","RFU","Protein","20","S2"
"X10367.62","10367-62",3,"SL001716","Interleukin-12","IL-12","P29459|P29460","3592|3593","IL12A|IL12B","Human","RFU","Protein","20","S1"
"X10370.21","10370-21",3,"SL004396","Signal transducer and activator of transcription 1-alpha/beta","STAT1","P42224","6772","STAT1","Human","RFU","Protein","20","S2"
"X10372.18","10372-18",3,"SL007229","Signal transducer and activator of transcription 6","STAT6","P42226","6778","STAT6","Human","RFU","Protein","20","S2"
"X10382.1","10382-1",3,"SL006803","Angiopoietin-related protein 3","ANGL3","Q9Y5C1","27329","ANGPTL3","Human","RFU","Protein","20","S2"
"X10390.21","10390-21",3,"SL018971","E3 ubiquitin-protein ligase ZNRF3","ZNRF3","Q9ULT6","84133","ZNRF3","Human","RFU","Protein","20","S1"
"X10391.1","10391-1",3,"SL006803","Angiopoietin-related protein 3","ANGL3","Q9Y5C1","27329","ANGPTL3","Human","RFU","Protein","20","S2"
"X10396.6","10396-6",3,"SL003755","Induced myeloid leukemia cell differentiation protein Mcl-1","Mcl-1","Q07820","4170","MCL1","Human","RFU","Protein","20","S2"
"X10398.110","10398-110",3,"SL019275","Ankyrin repeat domain-containing protein 1","ANKR1","Q15327","27063","ANKRD1","Human","RFU","Protein","20","S1"
"X10418.36","10418-36",3,"SL011111","Syntaxin-12","STX12","Q86Y82","23673","STX12","Human","RFU","Protein","20","S2"
"X10419.1","10419-1",3,"SL014110","Scavenger receptor class A member 5","SCAR5","Q6ZMJ2","286133","SCARA5","Human","RFU","Protein","20","S1"
"X10420.30","10420-30",3,"SL018037","Fas apoptotic inhibitory molecule 1","FAIM1","Q9NVQ4","55179","FAIM","Human","RFU","Protein","20","S1"
"X10425.3","10425-3",3,"SL017972","Beta-1,4-galactosyltransferase 5","B4GT5","O43286","9334","B4GALT5","Human","RFU","Protein","20","S1"
"X10428.1","10428-1",3,"SL018045","Killer cell immunoglobulin-like receptor 2DS2","KI2S2","P43631","100132285","KIR2DS2","Human","RFU","Protein","20","S2"
"X10430.31","10430-31",3,"SL025780","4F2 cell-surface antigen heavy chain:Cytoplasmic domain","4F2:CD","P08195","6520","SLC3A2","Human","RFU","Protein","20","S1"
"X10432.3","10432-3",3,"SL018002","Uncharacterized protein KIAA1644","K1644","Q3SXP7","85352","SHISAL1","Human","RFU","Protein","20","S1"
"X10435.2","10435-2",3,"SL008645","N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase","ASPG","P20933","175","AGA","Human","RFU","Protein","20","S2"
"X10438.19","10438-19",3,"SL007128","Granulocyte-macrophage colony-stimulating factor receptor subunit alpha","CSF2R","P15509","1438","CSF2RA","Human","RFU","Protein","20","S2"
"X10439.57","10439-57",3,"SL005393","Alpha-amylase 2B","Alpha-amylase 2B","P19961","280","AMY2B","Human","RFU","Protein","20","S1"
"X10440.26","10440-26",3,"SL025782","CXADR-like membrane protein:Extracellular domain","ACAM:ECD","Q9H6B4","79827","CLMP","Human","RFU","Protein","20","S2"
"X10442.1","10442-1",3,"SL018089","Transmembrane protein 190","TM190","Q8WZ59","147744","TMEM190","Human","RFU","Protein","20","S1"
"X10445.20","10445-20",3,"SL004747","Apolipoprotein M","ApoM","O95445","55937","APOM","Human","RFU","Protein","20","S2"
"X10447.18","10447-18",3,"SL018138","Polyadenylate-binding protein 3","PABP3","Q9H361","5042","PABPC3","Human","RFU","Protein","20","S2"
"X10449.31","10449-31",3,"SL008887","Protein shisa-2 homolog","TMM46","Q6UWI4","387914","SHISA2","Human","RFU","Protein","20","S1"
"X10451.11","10451-11",3,"SL008914","Nucleobindin-1","NUCB1","Q02818","4924","NUCB1","Human","RFU","Protein","20","S2"
"X10453.7","10453-7",3,"SL018233","Carcinoembryonic antigen-related cell adhesion molecule 20","CEA20","Q6UY09","125931","CEACAM20","Human","RFU","Protein","20","S1"
"X10454.99","10454-99",3,"SL018290","DnaJ homolog subfamily C member 16","DJC16","Q9Y2G8","23341","DNAJC16","Human","RFU","Protein","20","S1"
"X10455.196","10455-196",3,"SL004678","Interleukin-31","IL-31","Q6EBC2","386653","IL31","Human","RFU","Protein","20","S1"
"X10457.3","10457-3",3,"SL004861","Interleukin-18 receptor accessory protein","IL-18 Rb","O95256","8807","IL18RAP","Human","RFU","Protein","20","S1"
"X10462.14","10462-14",3,"SL012880","Insulin-like peptide INSL5","INSL5","Q9Y5Q6","10022","INSL5","Human","RFU","Protein","20","S1"
"X10463.23","10463-23",3,"SL002514","Intestinal-type alkaline phosphatase","Alkaline phosphatase, intestine","P09923","248","ALPI","Human","RFU","Protein","20","S2"
"X10464.6","10464-6",3,"SL008696","Anthrax toxin receptor 1","ANTR1","Q9H6X2","84168","ANTXR1","Human","RFU","Protein","20","S1"
"X10472.53","10472-53",3,"SL004145","Tumor necrosis factor receptor superfamily member 14","HVEM","Q92956","8764","TNFRSF14","Human","RFU","Protein","20","S1"
"X10473.2","10473-2",3,"SL002602","Trefoil factor 2","Trefoil factor 2","Q03403","7032","TFF2","Human","RFU","Protein","20","S1"
"X10479.18","10479-18",3,"SL000645","Stromelysin-2","MMP-10","P09238","4319","MMP10","Human","RFU","Protein","20","S2"
"X10480.33","10480-33",3,"SL004557","CD59 glycoprotein","CD59","P13987","966","CD59","Human","RFU","Protein","20","S1"
"X10490.3","10490-3",3,"SL025976","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1:Cytoplasmic domain","RPN1:CD","P04843","6184","RPN1","Human","RFU","Protein","20","S2"
"X10496.11","10496-11",3,"SL009322","Calcium-activated chloride channel regulator 1","CaCC","A8K7I4","1179","CLCA1","Human","RFU","Protein","20","S2"
"X10499.1","10499-1",3,"SL008733","Transmembrane protein 106A","T106A","Q96A25","113277","TMEM106A","Human","RFU","Protein","20","S2"
"X10505.12","10505-12",3,"SL018629","E3 ubiquitin-protein ligase RNF43","RNF43","Q68DV7","54894","RNF43","Human","RFU","Protein","20","S1"
"X10506.53","10506-53",3,"SL007962","Membrane-associated progesterone receptor component 2","PGRC2","O15173","10424","PGRMC2","Human","RFU","Protein","20","S2"
"X10507.166","10507-166",3,"SL009308","Acrosomal protein SP-10","sperm protein 10","P26436","56","ACRV1","Human","RFU","Protein","20","S1"
"X10510.62","10510-62",3,"SL018612","SLP adapter and CSK-interacting membrane protein","SCIMP","Q6UWF3","388325","SCIMP","Human","RFU","Protein","20","S1"
"X10512.13","10512-13",3,"SL025888","Cytokine receptor common subunit beta:Extracellular domain","IL3RB:ECD","P32927","1439","CSF2RB","Human","RFU","Protein","20","S1"
"X10513.13","10513-13",3,"SL018613","Calsenilin","CSEN","Q9Y2W7","30818","KCNIP3","Human","RFU","Protein","20","S1"
"X10514.5","10514-5",3,"SL005360","Prostaglandin-H2 D-isomerase","PGD2 synthase","P41222","5730","PTGDS","Human","RFU","Protein","20","S3"
"X10521.10","10521-10",3,"SL025939","Matrix-remodeling-associated protein 8:Extracellular domain","MXRA8:ECD","Q9BRK3","54587","MXRA8","Human","RFU","Protein","20","S2"
"X10527.22","10527-22",3,"SL013075","ATP-dependent RNA helicase A","DHX9","Q08211","1660","DHX9","Human","RFU","Protein","20","S2"
"X10528.2","10528-2",3,"SL008734","Dipeptidase 1","DPEP1","P16444","1800","DPEP1","Human","RFU","Protein","20","S1"
"X10530.8","10530-8",3,"SL016414","Proteasome subunit beta type-6","PSB6","P28072","5694","PSMB6","Human","RFU","Protein","20","S1"
"X10531.18","10531-18",3,"SL010845","GTPase NRas","RASN","P01111","4893","NRAS","Human","RFU","Protein","20","S2"
"X10534.40","10534-40",3,"SL025953","Poly [ADP-ribose] polymerase 1:BRCA1 C-terminal:BRCA1 C-terminus domian","PARP:BRCT domain","P09874","142","PARP1","Human","RFU","Protein","20","S1"
"X10539.30","10539-30",3,"SL014293","CD99 antigen-like protein 2","C99L2","Q8TCZ2","83692","CD99L2","Human","RFU","Protein","20","S2"
"X10546.2","10546-2",3,"SL012744","Thrombospondin-type laminin G domain and EAR repeat-containing protein","TSEAR","Q8WU66","54084","TSPEAR","Human","RFU","Protein","20","S2"
"X10550.37","10550-37",3,"SL004132","Bone morphogenetic protein receptor type-1B","BMP RIB","O00238","658","BMPR1B","Human","RFU","Protein","20","S1"
"X10551.7","10551-7",3,"SL007008","Linker for activation of T-cells family member 1","LAT","O43561","27040","LAT","Human","RFU","Protein","20","S2"
"X10552.88","10552-88",3,"SL017983","NKG2-F type II integral membrane protein","NKG2F","O43908","8302","KLRC4","Human","RFU","Protein","20","S1"
"X10553.8","10553-8",3,"SL017988","Torsin-1A-interacting protein 2","TOIP2","Q8NFQ8","163590","TOR1AIP2","Human","RFU","Protein","20","S2"
"X10557.6","10557-6",3,"SL018003","Testis-expressed sequence 29 protein","TEX29","Q8N6K0","121793","TEX29","Human","RFU","Protein","20","S2"
"X10558.26","10558-26",3,"SL008436","Protocadherin-9","PCDH9","Q9HC56","5101","PCDH9","Human","RFU","Protein","20","S2"
"X10560.1","10560-1",3,"SL025895","Integral membrane protein 2C:N-term","ITM2C:N-term","Q9NQX7","81618","ITM2C","Human","RFU","Protein","20","S1"
"X10561.5","10561-5",3,"SL004512","Peptidoglycan recognition protein 3","PGRP-I-alpha","Q96LB9","114771","PGLYRP3","Human","RFU","Protein","20","S1"
"X10562.42","10562-42",3,"SL015086","Neuropilin and tolloid-like protein 2","NETO2","Q8NC67","81831","NETO2","Human","RFU","Protein","20","S2"
"X10563.13","10563-13",3,"SL018021","LysM and putative peptidoglycan-binding domain-containing protein 3","LYSM3","Q7Z3D4","116068","LYSMD3","Human","RFU","Protein","20","S1"
"X10565.19","10565-19",3,"SL017951","SLIT and NTRK-like protein 3","SLIK3","O94933","22865","SLITRK3","Human","RFU","Protein","20","S2"
"X10569.28","10569-28",3,"SL012443","Microfibrillar-associated protein 2","MFAP2","P55001","4237","MFAP2","Human","RFU","Protein","20","S2"
"X10571.14","10571-14",3,"SL018096","Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase","MGAT1","P26572","4245","MGAT1","Human","RFU","Protein","20","S1"
"X10572.65","10572-65",3,"SL012372","Cystatin-8","CST8","O60676","10047","CST8","Human","RFU","Protein","20","S2"
"X10574.10","10574-10",3,"SL000283","Beta-2-microglobulin","b2-Microglobulin","P61769","567","B2M","Human","RFU","Protein","20","S2"
"X10575.31","10575-31",3,"SL018139","Poly(U)-binding-splicing factor PUF60","PUF60","Q9UHX1","22827","PUF60","Human","RFU","Protein","20","S2"
"X10576.7","10576-7",3,"SL025965","Plexin domain-containing protein 2:Extracellular domain","PXDC2:ECD","Q6UX71","84898","PLXDC2","Human","RFU","Protein","20","S2"
"X10580.14","10580-14",3,"SL012586","Surfactant-associated protein 2","SFTA2","Q6UW10","389376","SFTA2","Human","RFU","Protein","20","S1"
"X10582.36","10582-36",3,"SL018286","Protein O-mannose kinase","SG196","Q9H5K3","84197","POMK","Human","RFU","Protein","20","S2"
"X10583.1","10583-1",3,"SL018282","Transmembrane protein 108","TM108","Q6UXF1","66000","TMEM108","Human","RFU","Protein","20","S1"
"X10584.7","10584-7",3,"SL018289","NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial","NDUS4","O43181","4724","NDUFS4","Human","RFU","Protein","20","S1"
"X10588.39","10588-39",3,"SL011395","Lactosylceramide alpha-2,3-sialyltransferase","SIAT9","Q9UNP4","8869","ST3GAL5","Human","RFU","Protein","20","S1"
"X10589.7","10589-7",3,"SL018354","Retinoic acid early transcript 1L protein","RET1L","Q5VY80","154064","RAET1L","Human","RFU","Protein","20","S2"
"X10605.22","10605-22",3,"SL004748","Adipocyte plasma membrane-associated protein","APMAP","Q9HDC9","57136","APMAP","Human","RFU","Protein","20","S1"
"X10606.34","10606-34",3,"SL026012","Torsin-1A-interacting protein 1:Perinuclear domain","TOIP1:Perinuclear","Q5JTV8","26092","TOR1AIP1","Human","RFU","Protein","20","S2"
"X10608.9","10608-9",3,"SL012418","Histatin-1","HIS1","P15515","3346","HTN1","Human","RFU","Protein","20","S1"
"X10612.18","10612-18",3,"SL008694","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3","PLOD3","O60568","8985","PLOD3","Human","RFU","Protein","20","S2"
"X10613.33","10613-33",3,"SL018589","Protein CASC4","CASC4","Q6P4E1","113201","GOLM2","Human","RFU","Protein","20","S2"
"X10615.18","10615-18",3,"SL008066","Myelin protein P0","MYP0","P25189","4359","MPZ","Human","RFU","Protein","20","S2"
"X10616.67","10616-67",3,"SL017477","Podocalyxin-like protein 2","PDXL2","Q9NZ53","50512","PODXL2","Human","RFU","Protein","20","S1"
"X10618.190","10618-190",3,"SL004439","Low-density lipoprotein receptor-related protein 2","megalin","P98164","4036","LRP2","Human","RFU","Protein","20","S1"
"X10620.21","10620-21",3,"SL000548","Beta-microseminoprotein","PSP-94","P08118","4477","MSMB","Human","RFU","Protein","20","S2"
"X10621.26","10621-26",3,"SL018592","Protein Largen","PRR16","Q569H4","51334","PRR16","Human","RFU","Protein","20","S1"
"X10623.19","10623-19",3,"SL025933","Mucin-1:region 1","MUC1:region 1","P15941","4582","MUC1","Human","RFU","Protein","20","S1"
"X10624.45","10624-45",3,"SL018582","Serine protease inhibitor Kazal-type 13","ISK13","Q1W4C9","153218","SPINK13","Human","RFU","Protein","20","S1"
"X10626.116","10626-116",3,"SL018611","Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3","SIA7C","Q8NDV1","256435","ST6GALNAC3","Human","RFU","Protein","20","S1"
"X10627.87","10627-87",3,"SL007366","Amyloid-like protein 2","APLP2","Q06481","334","APLP2","Human","RFU","Protein","20","S2"
"X10630.5","10630-5",3,"SL007633","Oxidoreductase HTATIP2","HTAI2","Q9BUP3","10553","HTATIP2","Human","RFU","Protein","20","S2"
"X10631.9","10631-9",3,"SL007962","Membrane-associated progesterone receptor component 2","PGRC2","O15173","10424","PGRMC2","Human","RFU","Protein","20","S2"
"X10636.1","10636-1",3,"SL025932","Cell surface glycoprotein CD200 receptor 1:Isoform 4, Cytoplasmic Domain","MO2R1:CD","Q8TD46","131450","CD200R1","Human","RFU","Protein","20","S1"
"X10637.50","10637-50",3,"SL025903","UPF0577 protein KIAA1324:Extracellular domain","K1324:ECD","Q6UXG2","57535","ELAPOR1","Human","RFU","Protein","20","S1"
"X10638.1","10638-1",3,"SL018685","TERF1-interacting nuclear factor 2","TINF2","Q9BSI4","26277","TINF2","Human","RFU","Protein","20","S1"
"X10643.16","10643-16",3,"SL025948","Noelin-3:Isoform 2, C-term","NOE3:C-term","Q96PB7","118427","OLFM3","Human","RFU","Protein","20","S2"
"X10647.18","10647-18",3,"SL017894","Activating signal cointegrator 1 complex subunit 1","ASCC1","Q8N9N2","51008","ASCC1","Human","RFU","Protein","20","S2"
"X10663.42","10663-42",3,"SL018014","Insulin-induced gene 1 protein","INSI1","O15503","3638","INSIG1","Human","RFU","Protein","20","S1"
"X10666.7","10666-7",3,"SL012791","N-acetylglucosamine-1-phosphotransferase subunit gamma","GNPTG","Q9UJJ9","84572","GNPTG","Human","RFU","Protein","20","S2"
"X10667.78","10667-78",3,"SL018036","Uncharacterized protein C1orf185","CA185","Q5T7R7","284546","C1orf185","Human","RFU","Protein","20","S1"
"X10668.5","10668-5",3,"SL007377","Syntaxin-4","STX4","Q12846","6810","STX4","Human","RFU","Protein","20","S2"
"X10672.75","10672-75",3,"SL004483","Pulmonary surfactant-associated protein B","SP-B","P07988","6439","SFTPB","Human","RFU","Protein","20","S2"
"X10693.43","10693-43",3,"SL025910","Killer cell lectin-like receptor subfamily G member 2:C-term","KLRG2:C-term","A4D1S0","346689","KLRG2","Human","RFU","Protein","20","S1"
"X10695.12","10695-12",3,"SL012662","Protein WFDC10B","WF10B","Q8IUB3","280664","WFDC10B","Human","RFU","Protein","20","S1"
"X10699.52","10699-52",3,"SL018603","Prolow-density lipoprotein receptor-related protein 1","LRP1","Q07954","4035","LRP1","Human","RFU","Protein","20","S2"
"X10700.10","10700-10",3,"SL025885","Immunoglobulin superfamily member 11:Cytoplasmic domain","IGS11:CD","Q5DX21","152404","IGSF11","Human","RFU","Protein","20","S2"
"X10702.1","10702-1",3,"SL012521","Collagen alpha-1(XXVIII) chain","COSA1","Q2UY09","340267","COL28A1","Human","RFU","Protein","20","S2"
"X10703.203","10703-203",3,"SL006737","Sin3 histone deacetylase corepressor complex component SDS3","SDS3","Q9H7L9","64426","SUDS3","Human","RFU","Protein","20","S2"
"X10704.91","10704-91",3,"SL018605","Lymphoid-restricted membrane protein","LRMP","Q12912","4033","IRAG2","Human","RFU","Protein","20","S1"
"X10705.14","10705-14",3,"SL018611","Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3","SIA7C","Q8NDV1","256435","ST6GALNAC3","Human","RFU","Protein","20","S1"
"X10708.3","10708-3",3,"SL007007","Progonadoliberin-2","GON2","O43555","2797","GNRH2","Human","RFU","Protein","20","S1"
"X10710.23","10710-23",3,"SL012618","Zona pellucida-binding protein 2","ZPBP2","Q6X784","124626","ZPBP2","Human","RFU","Protein","20","S1"
"X10713.151","10713-151",3,"SL017073","CMRF35-like molecule 7","CLM7","A8K4G0","124599","CD300LB","Human","RFU","Protein","20","S1"
"X10714.7","10714-7",3,"SL000269","Angiotensin-converting enzyme","ACE","P12821","1636","ACE","Human","RFU","Protein","20","S2"
"X10716.35","10716-35",3,"SL010942","26S proteasome non-ATPase regulatory subunit 5","PSMD5","Q16401","5711","PSMD5","Human","RFU","Protein","20","S1"
"X10721.76","10721-76",3,"SL000451","Heat shock 70 kDa protein 1A","HSP 70","P0DMV8","3303","HSPA1A","Human","RFU","Protein","20","S2"
"X10722.13","10722-13",3,"SL025912","Tyrosine-protein kinase SYK:Protein kinase domain","KSYK:Protein Kinase","P43405","6850","SYK","Human","RFU","Protein","20","S2"
"X10737.96","10737-96",3,"SL005397","Leukocyte elastase inhibitor","Serpin B1","P30740","1992","SERPINB1","Human","RFU","Protein","20","S2"
"X10738.11","10738-11",3,"SL004460","Fibulin-5","fibulin 5","Q9UBX5","10516","FBLN5","Human","RFU","Protein","20","S2"
"X10741.22","10741-22",3,"SL002684","Macrophage colony-stimulating factor 1","CSF-1","P09603","1435","CSF1","Human","RFU","Protein","20","S2"
"X10743.13","10743-13",3,"SL008760","SLIT and NTRK-like protein 1","SLIK1","Q96PX8","114798","SLITRK1","Human","RFU","Protein","20","S2"
"X10746.24","10746-24",3,"SL009412","Dickkopf-related protein 3","DKK3","Q9UBP4","27122","DKK3","Human","RFU","Protein","20","S2"
