Analytes,SeqId,SeqIdVersion,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Units,Type,Dilution,NormGroup
X5451.1,5451-1,3,SL003166,CD166 antigen,ALCAM,Q13740,214,ALCAM,Human,RFU,Protein,20,S2
X5626.20,5626-20,3,SL012801,Chymotrypsin-C,CTRC,Q99895,11330,CTRC,Human,RFU,Protein,20,S1
X5648.28,5648-28,3,SL017094,Chymotrypsinogen B2,CTRB2,Q6GPI1,440387,CTRB2,Human,RFU,Protein,20,S2
X5671.1,5671-1,3,SL000353,Chymotrypsinogen B,Chymotrypsin,P17538,1504,CTRB1,Human,RFU,Protein,20,S1
X5749.53,5749-53,3,SL009329,Colipase,COL,P04118,1208,CLPS,Human,RFU,Protein,20,S1
X6357.83,6357-83,3,SL009332,Chymotrypsin-like elastase family member 3B,ELA3B,P08861,23436,CELA3B,Human,RFU,Protein,20,S1
X6395.58,6395-58,3,SL012797,Glycoprotein hormone alpha-2,GPHA2,Q96T91,170589,GPHA2,Human,RFU,Protein,20,S1
X6521.35,6521-35,3,SL009928,Neuronal pentraxin-2,NPTX2,P47972,4885,NPTX2,Human,RFU,Protein,20,S2
X6627.25,6627-25,3,SL012441,Inactive pancreatic lipase-related protein 1,LIPR1,P54315,5407,PNLIPRP1,Human,RFU,Protein,20,S1
X7083.74,7083-74,3,SL008508,Matrilin-4,MATN4,O95460,8785,MATN4,Human,RFU,Protein,20,S2
X7117.21,7117-21,3,SL006411,Serpin I2,SPI2,O75830,5276,SERPINI2,Human,RFU,Protein,20,S1
X7140.1,7140-1,3,SL012410,Chymotrypsin-like elastase family member 2A,ELA2A,P08217,63036,CELA2A,Human,RFU,Protein,20,S1
X7193.98,7193-98,3,SL018124,Protocadherin alpha-C1,PCDC1,Q9H158,56135,PCDHAC1,Human,RFU,Protein,20,S1
X7211.2,7211-2,3,SL005355,Ribonuclease pancreatic,RNase 1,P07998,6035,RNASE1,Human,RFU,Protein,20,S2
X7227.75,7227-75,3,SL008509,Cochlin,COCH,O43405,1690,COCH,Human,RFU,Protein,20,S2
X7789.182,7789-182,3,SL007394,Peroxiredoxin-4,PRDX4,Q13162,10549,PRDX4,Human,RFU,Protein,20,S1
X7815.49,7815-49,3,SL012749,Insulin-like growth factor-binding protein-like 1,IBPL1,Q8WX77,347252,IGFBPL1,Human,RFU,Protein,20,S2
X7943.16,7943-16,3,SL018361,CUB and zona pellucida-like domain-containing protein 1,CUZD1,Q86UP6,50624,CUZD1,Human,RFU,Protein,20,S1
X7994.41,7994-41,3,SL018326,ERO1-like protein beta,ERO1B,Q86YB8,56605,ERO1B,Human,RFU,Protein,20,S1
X8036.75,8036-75,3,SL018408,Follitropin subunit beta,FSHB,P01225,2488,FSHB,Human,RFU,Protein,20,S1
X8243.55,8243-55,3,SL001751,Serine protease inhibitor Kazal-type 1,TATI,P00995,6690,SPINK1,Human,RFU,Protein,20,S1
X8376.25,8376-25,4,SL018465,Lutropin subunit beta,LSHB,P01229,3972,LHB,Human,RFU,Protein,20,S1
X8462.18,8462-18,3,SL000442,Somatotropin,HGH,P01241,2688,GH1,Human,RFU,Protein,20,S1
X9229.9,9229-9,3,SL012433,Chymotrypsin-like protease CTRL-1,CTRL,P40313,1506,CTRL,Human,RFU,Protein,20,S2
X9276.7,9276-7,3,SL009343,Carboxypeptidase A2,CBPA2,P48052,1358,CPA2,Human,RFU,Protein,20,S1
X9333.59,9333-59,3,SL017394,Endoplasmic reticulum resident protein 27,ERP27,Q96DN0,121506,ERP27,Human,RFU,Protein,20,S1
X9361.7,9361-7,3,SL017393,Protocadherin alpha-C2,PCDC2,Q9Y5I4,56134,PCDHAC2,Human,RFU,Protein,20,S2
X9796.4,9796-4,3,SL009338,Bile salt-activated lipase,CEL,P19835,1056,CEL,Human,RFU,Protein,20,S2
